street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Control,43.545229,-5.6619245,29,29,169,169,1,False
Camín del Xabeletu,43.458737,-5.7560442,100,100,636,636,1,False
Plaza Sara Suárez Solís,43.5211404,-5.6743798,24,32,464,348,0.99756,False
Acceso al hospital,39.6417235,-0.6188079,63,63,15,15,1,False
La Estrella,43.5409594,-5.6891779,19,25,503,382,0.944276,False
Camín de Serin,43.4987854,-5.7782733,112,112,27,27,1,False
Pabellón de La Arena,43.4948793,-5.604545,106,106,552,552,1,False
Camino de Bérbora,43.5303576,-5.6085074,35,35,262,262,1,False
Calle Dionisio de la Huerta,43.5312471,-5.6336649,30,30,89,89,1,False
Carril bici Avenida de Albert Einstein,43.5276009,-5.6344985,50,50,1092,1092,1,False
Calle Julio Fernández,43.5466671,-5.6644247,19,23,376,311,0.975322,False
Jardines de la Reina,20.6442341,-103.228555,24,24,1281,1281,1,False
Camín de Los Buracos,43.4862262,-5.7034707,38,38,282,282,1,False
Avelino G. Mallada,43.5326726,-5.6502274,28,28,258,258,1,False
Camín de les güertes d'ociu,43.4707484,-5.7102691,53,53,1368,1368,1,False
Camín del Pascón,43.458737,-5.7560442,100,100,636,636,1,False
Calle Cobradores,43.5169542,-5.6783472,53,53,1368,1368,1,False
Camino de los Nisperos,43.5439601,-5.6068104,50,50,458,458,1,False
Calle Felipe V,43.5362771,-5.6493351,19,23,376,311,0.975322,False
Camín de los Burullinos,43.4862262,-5.7034707,38,38,282,282,1,False
Calle Siglo XX,43.5295135,-5.6671119,26,26,153,153,1,False
Camino de Los Caleros,43.5167636,-5.668944,108,108,66,66,1,False
Acceso Recinto Ferial Luis Adaro,43.5394089,-5.6374423,45,45,540,540,1,False
El Puentín de La Guía,43.5287126,-5.6331235,35,35,183,183,1,False
Calle Gustave Eiffel,43.5106047,-5.6806987,53,53,1368,1368,1,False
Camín del Colasu,43.458737,-5.7560442,100,100,636,636,1,False
Camín del Tejar,43.458737,-5.7560442,100,100,636,636,1,False
Calle Balmes,43.5347885,-5.6496995,24,34,566,399,0.996375,False
Camín de la Folguera,43.4795803,-5.7446094,69,69,16,16,1,False
Plaza de La Soledad,42.0033303,-5.6737529,78,78,1152,1152,1,False
Torre Bermeja,43.5266984,-5.6835409,31,36,364,314,0.992819,False
Calle Albañiles,43.5174487,-5.6780641,53,53,1368,1368,1,False
Calle Escultor Sebastián Miranda,43.5465562,-5.6620483,44,44,552,552,1,False
Calle Tina Modotti,43.5328127,-5.702156,54,54,1118,1118,1,False
Camino de los Quiñones,43.5440258,-5.6349539,49,49,463,463,1,False
Calle Campoamor,43.5338169,-5.6523749,28,28,258,258,1,False
Complejo deportivo Las Mestas,43.5322695,-5.6418889,24,34,566,399,0.996375,False
Avenida Schulz (La Puerta La Villa),38.0265919,-4.522009,71,71,670,670,1,False
Calle Panadés,43.5303213,-5.6692952,24,31,464,359,0.997566,False
Calle Cecilia,43.5313873,-5.6960638,54,54,1118,1118,1,False
El Mirador,-33.2906383,-68.3391782,76,76,84,84,1,False
Travesía del Camín del Regatón,43.5573905,-5.7108224,39,48,201,163,0.841595,False
Calle San Antonio,43.5436855,-5.6631969,29,29,169,169,1,False
Calle Santa Doradía,43.5383863,-5.6571269,19,23,376,311,0.975322,False
Camín de la Palmera,43.4795803,-5.7446094,69,69,16,16,1,False
Calle Louis Pasteur,43.5096831,-5.6862599,100,100,636,636,1,False
Camin de Moran,43.5269399,-5.6949099,36,36,97,97,1,False
Travesía del Hospital,43.5498065,-5.703016,42,42,462,462,1,False
Camín de la Barrera,43.4795803,-5.7446094,69,69,16,16,1,False
Cortes de Cádiz,43.537907,-5.6849186,21,26,290,234,0.969888,False
Camin de la Escuela,43.4958721,-5.6817885,49,49,209,209,1,False
Calle Nicaragua,43.5396829,-5.6994049,19,25,503,382,0.951702,False
Camin de la Fonte Peri,43.4750111,-5.7010699,53,53,1368,1368,1,False
Farmacia,43.545229,-5.6619245,29,29,169,169,1,False
Pañeda,43.5388647,-5.6820811,21,26,290,234,0.969888,False
Camín de La Coría a Santurio,43.5183089,-5.6514634,70,70,41,41,1,False
Camín Real,43.5018974,-5.8142584,112,112,100,100,1,False
Parque Hermanos Castro,43.5398862,-5.6418642,45,45,540,540,1,False
Calle Jerónimo González,43.5391442,-5.664993,18,23,397,311,0.975322,False
Calle del Campon,43.5390252,-5.7099093,19,25,503,382,0.951702,False
Calle Sierra del Aramo,43.5294153,-5.6825551,64,64,26,26,1,False
Veriña,43.5462643,-5.7158234,54,54,20,20,1,False
Calle Luis Adaro Ruiz-Falcó,43.5363016,-5.638746,35,35,183,183,1,False
Avenida de Castilla,43.5384765,-5.6459104,44,44,552,552,1,False
Calle Concejo de Teverga,43.5232781,-5.6464619,108,108,63,63,1,False
Camín de La Torre,43.4795803,-5.7446094,69,69,16,16,1,False
Camino de Florín,43.496547,-5.6663054,49,49,209,209,1,False
Calle Padre José María Patac,43.5337038,-5.6563865,22,32,329,226,0.983854,False
Camín de la Fuente del Talegueru,43.4821251,-5.7193765,62,62,840,840,1,False
La Puerta La Villa,42.1890223,-2.2959035,48,48,576,576,1,False
Parque Rafaela Lozana,43.5409163,-5.6922905,39,39,477,477,1,False
Camin de Arbesú,43.4850737,-5.6199934,49,49,1450,1450,1,False
Camín de les Pasaderes,43.4707484,-5.7102691,53,53,1368,1368,1,False
Camín del Talegueru,43.458737,-5.7560442,100,100,636,636,1,False
Calle Maestro Enrique Truán,43.5294475,-5.6454229,24,34,566,399,0.996375,False
Calle Leoncio Suárez,43.5274861,-5.6651391,26,26,153,153,1,False
Camín de La Cuestona,43.4823824,-5.7171214,62,62,840,840,1,False
Los Caleros,43.5162713,-5.671891,48,48,971,971,1,False
Camin de los Nogales,43.4862262,-5.7034707,38,38,282,282,1,False
Camín del Riche,43.458737,-5.7560442,100,100,636,636,1,False
Plaza de las Madres de la Plaza de Mayo,37.6701846,-5.9903871,50,50,1387,1387,1,False
Camín de Alfredón,43.5053826,-5.6695737,113,113,311,311,1,False
Camín de Las Encinas,43.4960555,-5.6995711,29,29,171,171,1,False
Camin del Pintu,43.458737,-5.7560442,100,100,636,636,1,False
Álvarez Garaya,43.5409923,-5.6656273,29,29,169,169,1,False
Calle Batería,43.5468762,-5.6614711,44,44,552,552,1,False
Poligono de Bankunion,43.5254163,-5.7157212,117,117,194,194,1,False
Calle Laura de los Ríos,42.6328675,-5.6008225,48,48,870,870,1,False
Caleya de Carcedo,43.5043014,-5.6171609,41,41,683,683,1,False
Camino de Las Peonias,43.5278672,-5.6278816,14,21,15,10,0.99,False
Camino del Lucero,43.5415589,-5.691684,39,39,477,477,1,False
Camín de la Riega,41.7611894,-5.7674187,81,81,833,833,1,False
Calle Murcia,43.5281403,-5.6730956,26,26,153,153,1,False
Travesía de Vicentón,42.611187,-5.5745177,38,38,210,210,1,False
Camin de Las Lilas,43.5333569,-5.6159609,35,35,262,262,1,False
Travesía de La Corrada,42.8765926,-6.4296966,71,71,668,668,1,False
Calle Chile,-28.5929105,-70.7411729,46,46,91,91,1,False
