street,latitude,longitude,currentSpeed,freeFlowSpeed,currentTravelTime,freeFlowTravelTime,confidence,roadClosure
Camino del Alto de la Cruz,43.4817394,-5.6788321,113,113,311,311,1,False
Calle La Mofosa,43.5305191,-5.7155124,54,54,1118,1118,1,False
Camín de Vicentín,43.4850737,-5.6199934,49,49,1450,1450,1,False
Plaza de Villamanín,43.5380319,-5.6638426,18,23,397,311,0.949742,False
Plaza de Miramar,43.3797102,-8.3376592,49,49,1474,1474,1,False
Camín de Bernardón,43.4850737,-5.6199934,49,49,1450,1450,1,False
El Parque,43.5428643,-5.702232,42,42,462,462,1,False
Camino de Las Arenas,43.5425444,-5.6283442,44,44,552,552,1,False
Carretera de Somio,43.5359699,-5.6175308,45,45,540,540,1,False
Camín de Tejúa,43.4850737,-5.6199934,49,49,1450,1450,1,False
Pasaje del Manzano,43.5349583,-5.8925056,24,29,168,139,0.974354,False
Calle Leandro Domínguez,20.9515979,-97.3650832,39,39,1274,1274,1,False
Calle Julio Alvarez Mendo,43.3757575,-5.8226001,53,53,104,104,1,False
Calle Eloísa Fernández,43.4834494,-5.440781,39,39,125,125,1,False
Calle Marqués de Bolarque,21.1393478,-101.7639562,60,60,266,266,1,False
Calle Alto de Buenavista,43.3499706,-5.8780561,33,33,628,628,1,False
Calle Pintor Carreño Miranda,43.5356829,-5.6441826,28,34,229,189,1,False
Calle Pintor Orlando Pelayo,43.5365246,-5.646105,18,23,397,311,0.94808,False
Camín de la Fuente del Talegueru,43.4821251,-5.7193765,62,62,840,840,1,False
Camino de la Pomarada,43.4181983,-5.7887222,112,112,102,102,1,False
Calle Fuente del Prado,25.8936243,-100.1711185,57,57,1279,1279,1,False
Camín del Mortero,43.458737,-5.7560442,100,100,636,636,1,False
Calle de la Serrería,28.1512535,-16.7235224,40,40,622,622,1,False
Calle La Campa,43.5587213,-5.7062414,42,42,462,462,1,False
Camín de Cueto,43.4711707,-5.7193573,62,62,840,840,1,False
Carretera de La Secada a Gargantada,37.4078911,-6.037545,34,34,119,119,1,False
Calle Elena Soriano,40.1168033,-3.1597339,29,29,29,29,1,False
"Calle Ataúlfo Friera ""Tarfe""",43.5281565,-5.702672,56,56,886,886,1,False
"Calle María González ""La Pondala""",43.5093404,-5.7279225,60,60,263,263,1,False
"Calle D ""Picadores""",43.485933,-5.6517524,36,36,914,914,1,False
Junta del Puerto,37.3381278,-5.9982784,69,69,532,532,1,False
Calle I Sondistas,43.4853531,-5.654068,36,36,914,914,1,False
Camín de la Pumaradina,43.4795803,-5.7446094,69,69,16,16,1,False
Calle Concejo de Cangas del Narcea,43.5224236,-5.6489725,108,108,63,63,1,False
Camino de Panes,43.5196619,-5.6606699,48,48,1664,1664,1,False
Calle Munilla,43.5274321,-5.6778514,36,36,314,314,1,False
Parque de la Fábrica de Gas,43.5389256,-5.6512997,18,23,397,311,0.94808,False
Calle Almacenes Industriales,43.3693545,-5.8527754,20,28,142,101,1,False
Cai Pedro Braña,43.5886735,-5.7702299,41,41,624,624,1,False
Centro Cívico,-23.5147558,-46.1769289,61,61,1157,1157,1,False
Calle Luis Armiñan,43.3584831,-5.5079606,46,46,116,116,1,False
